age_group,gender,height,weight,bmi,exercise_days,exercise_time,days_per_week,minutes_per_day,total_minutes_per_week,target_weight,weight_loss
70,female,167.6,51.9,18.5,3日/週,60〜120分,3,90,270,46.8,5.2
20-29,male,168.8,94.5,33.1,4日/週,120〜180分,4,150,600,82.6,11.9
40-49,female,163.7,57.4,21.4,3日/週,60〜120分,3,90,270,51.5,5.9
60-69,male,176.2,64.6,20.8,運動なし,0分,0,0,0,65.2,-0.6
40-49,female,166.4,65.9,23.8,2日/週,120〜180分,2,150,300,60.7,5.2
20-29,female,153.7,49.6,21.0,2日/週,120〜180分,2,150,300,45.0,4.6
20-29,male,173.4,49.4,16.4,4日/週,180分以上,4,210,840,45.0,4.4
30-39,male,173.1,56.8,19.0,4日/週,120〜180分,4,150,600,45.0,11.8
40-49,female,172.6,53.3,17.9,3日/週,180分以上,3,210,630,45.0,8.3
70,female,168.6,47.5,16.7,4日/週,120〜180分,4,150,600,45.0,2.5
50-59,male,173.7,50.6,16.8,4日/週,30分未満,4,15,60,48.8,1.8
50-59,male,178.4,83.3,26.2,運動なし,0分,0,0,0,83.4,-0.1
30-39,male,181.5,84.9,25.8,6日/週,60〜120分,6,90,540,74.1,10.8
30-39,female,171.2,64.6,22.1,2日/週,30〜60分,2,45,90,62.6,2.1
20-29,female,177.5,72.8,23.1,運動なし,0分,0,0,0,72.7,0.1
70,male,172.3,72.5,24.4,3日/週,30〜60分,3,45,135,69.8,2.7
60-69,male,175.6,73.5,23.8,6日/週,30〜60分,6,45,270,68.1,5.4
20-29,male,175.1,65.5,21.4,運動なし,0分,0,0,0,64.4,1.1
20-29,female,176.5,50.4,16.2,運動なし,0分,0,0,0,50.4,0.0
70,female,168.3,59.7,21.1,5日/週,120〜180分,5,150,750,45.2,14.5
60-69,female,157.5,49.5,19.9,4日/週,30〜60分,4,45,180,46.0,3.5
70,female,163.1,55.1,20.7,5日/週,180分以上,5,210,1050,45.0,10.1
60-69,female,177.0,49.9,15.9,7日/週,120〜180分,7,150,1050,45.0,4.9
30-39,female,163.3,64.1,24.0,1日/週,120〜180分,1,150,150,60.3,3.7
60-69,female,159.7,34.7,13.6,5日/週,30〜60分,5,45,225,45.0,-10.3
30-39,male,169.2,65.2,22.8,5日/週,60〜120分,5,90,450,56.5,8.7
70,male,176.2,72.3,23.3,4日/週,30分未満,4,15,60,71.5,0.8
20-29,female,157.9,69.9,28.0,7日/週,180分以上,7,210,1470,45.0,24.9
60-69,male,180.3,74.6,23.0,運動なし,0分,0,0,0,75.3,-0.6
40-49,male,177.1,78.1,24.9,1日/週,60〜120分,1,90,90,76.2,1.9
50-59,male,168.4,56.5,19.9,4日/週,60〜120分,4,90,360,49.3,7.2
60-69,female,163.7,63.0,23.5,3日/週,180分以上,3,210,630,50.1,13.0
30-39,male,171.5,63.4,21.6,5日/週,30分未満,5,15,75,62.2,1.2
40-49,female,162.1,46.1,17.6,2日/週,180分以上,2,210,420,45.0,1.1
40-49,male,162.4,54.1,20.5,5日/週,120〜180分,5,150,750,45.0,9.1
20-29,female,167.6,55.4,19.7,2日/週,30〜60分,2,45,90,53.8,1.7
20-29,male,172.9,80.6,27.0,1日/週,60〜120分,1,90,90,77.7,2.9
50-59,female,165.3,63.3,23.2,4日/週,60〜120分,4,90,360,56.6,6.7
40-49,female,168.7,65.2,22.9,5日/週,180分以上,5,210,1050,45.2,20.1
50-59,female,163.5,61.0,22.8,7日/週,120〜180分,7,150,1050,45.0,16.0
40-49,male,171.0,66.4,22.7,1日/週,180分以上,1,210,210,62.2,4.2
50-59,male,174.8,85.4,27.9,4日/週,60〜120分,4,90,360,78.4,7.0
50-59,female,168.4,56.3,19.8,運動なし,0分,0,0,0,55.2,1.0
70,male,164.8,53.5,19.7,1日/週,30〜60分,1,45,45,52.9,0.6
40-49,male,168.9,62.3,21.8,5日/週,30分未満,5,15,75,60.7,1.6
40-49,male,172.7,70.8,23.8,2日/週,30〜60分,2,45,90,68.7,2.1
20-29,female,166.9,72.4,26.0,1日/週,120〜180分,1,150,150,69.3,3.1
60-69,female,169.7,41.4,14.4,運動なし,0分,0,0,0,45.0,-3.6
20-29,male,173.6,92.6,30.7,7日/週,30分未満,7,15,105,90.2,2.4
70,female,163.6,69.4,25.9,1日/週,180分以上,1,210,210,64.5,4.9
50-59,female,162.0,69.2,26.4,6日/週,180分以上,6,210,1260,45.0,24.2
60-69,male,174.5,65.9,21.6,3日/週,30〜60分,3,45,135,63.7,2.2
20-29,male,170.6,69.8,24.0,運動なし,0分,0,0,0,69.4,0.4
70,male,170.1,66.8,23.1,1日/週,30分未満,1,15,15,67.4,-0.6
50-59,female,162.7,56.9,21.5,運動なし,0分,0,0,0,56.7,0.3
60-69,male,180.9,64.7,19.8,6日/週,30〜60分,6,45,270,60.2,4.4
30-39,female,165.9,65.6,23.8,6日/週,30〜60分,6,45,270,60.3,5.3
20-29,male,167.2,66.7,23.9,4日/週,30〜60分,4,45,180,63.1,3.6
60-69,female,164.9,58.9,21.7,7日/週,60〜120分,7,90,630,46.1,12.8
50-59,male,171.4,74.6,25.4,7日/週,120〜180分,7,150,1050,53.4,21.2
50-59,male,176.4,72.6,23.3,7日/週,30分未満,7,15,105,71.6,1.1
30-39,male,166.8,50.4,18.1,1日/週,30分未満,1,15,15,49.9,0.5
60-69,female,157.3,53.0,21.4,運動なし,0分,0,0,0,53.6,-0.6
60-69,male,160.5,61.2,23.8,6日/週,180分以上,6,210,1260,45.0,16.2
70,male,165.0,68.7,25.2,運動なし,0分,0,0,0,69.2,-0.5
50-59,female,158.3,63.6,25.4,4日/週,30分未満,4,15,60,61.6,1.9
60-69,female,170.6,61.9,21.3,6日/週,60〜120分,6,90,540,51.4,10.5
20-29,female,161.3,64.9,24.9,3日/週,60〜120分,3,90,270,59.0,5.9
30-39,male,162.9,89.7,33.8,5日/週,30〜60分,5,45,225,85.3,4.4
40-49,female,163.3,67.8,25.4,6日/週,120〜180分,6,150,900,50.8,17.0
20-29,male,177.5,72.8,23.1,5日/週,30〜60分,5,45,225,68.4,4.4
40-49,male,170.7,75.3,25.8,3日/週,180分以上,3,210,630,62.5,12.9
60-69,female,165.4,61.9,22.6,6日/週,30分未満,6,15,90,59.9,2.0
40-49,female,168.9,64.3,22.5,2日/週,30分未満,2,15,30,63.5,0.9
30-39,female,161.5,62.5,24.0,1日/週,120〜180分,1,150,150,59.3,3.2
60-69,male,169.7,89.7,31.2,5日/週,30〜60分,5,45,225,85.5,4.3
20-29,male,170.7,64.7,22.2,1日/週,30分未満,1,15,15,64.3,0.4
40-49,female,163.8,51.0,19.0,5日/週,60〜120分,5,90,450,45.0,6.0
50-59,male,174.9,71.3,23.3,3日/週,30分未満,3,15,45,70.6,0.7
20-29,female,167.0,70.2,25.2,7日/週,60〜120分,7,90,630,58.1,12.1
50-59,male,170.2,64.8,22.4,6日/週,60〜120分,6,90,540,53.9,10.9
30-39,female,161.4,62.8,24.1,1日/週,120〜180分,1,150,150,59.4,3.4
30-39,female,170.7,49.1,16.8,5日/週,60〜120分,5,90,450,45.0,4.1
50-59,male,170.5,63.2,21.7,6日/週,60〜120分,6,90,540,53.8,9.4
40-49,male,167.6,66.3,23.6,7日/週,30〜60分,7,45,315,60.3,6.0
70,male,169.1,75.4,26.4,運動なし,0分,0,0,0,76.5,-1.1
70,female,168.1,65.1,23.1,3日/週,120〜180分,3,150,450,56.4,8.7
50-59,female,167.9,46.5,16.5,5日/週,30〜60分,5,45,225,45.0,1.5
50-59,male,176.4,61.1,19.6,5日/週,30分未満,5,15,75,60.4,0.8
30-39,male,171.9,73.5,24.9,運動なし,0分,0,0,0,72.9,0.6
20-29,female,167.1,56.0,20.1,6日/週,60〜120分,6,90,540,45.8,10.2
30-39,male,173.4,75.1,25.0,1日/週,60〜120分,1,90,90,73.7,1.4
70,male,174.3,86.7,28.5,2日/週,180分以上,2,210,420,78.7,8.0
60-69,female,173.6,66.4,22.0,5日/週,30分未満,5,15,75,64.8,1.6
30-39,male,179.0,71.1,22.2,3日/週,30分未満,3,15,45,69.6,1.5
30-39,female,161.2,67.1,25.8,3日/週,30分未満,3,15,45,65.6,1.5
60-69,male,172.2,69.1,23.3,7日/週,120〜180分,7,150,1050,48.4,20.7
20-29,female,161.8,65.4,25.0,運動なし,0分,0,0,0,64.9,0.4
60-69,female,167.6,63.3,22.6,運動なし,0分,0,0,0,63.7,-0.3
70,male,176.6,59.8,19.2,4日/週,120〜180分,4,150,600,47.8,12.1
30-39,female,166.0,65.3,23.7,2日/週,60〜120分,2,90,180,61.1,4.1
50-59,male,176.9,75.4,24.1,2日/週,60〜120分,2,90,180,72.1,3.3
30-39,female,166.4,51.5,18.6,7日/週,60〜120分,7,90,630,45.0,6.5
60-69,female,162.3,51.4,19.5,5日/週,30〜60分,5,45,225,46.9,4.5
20-29,male,172.4,73.4,24.7,1日/週,30〜60分,1,45,45,73.0,0.5
70,male,174.0,61.2,20.2,4日/週,30分未満,4,15,60,61.1,0.1
40-49,male,162.9,74.1,27.9,2日/週,60〜120分,2,90,180,70.2,3.9
30-39,male,174.9,83.1,27.2,2日/週,180分以上,2,210,420,74.4,8.7
60-69,female,162.5,78.5,29.7,6日/週,30〜60分,6,45,270,73.7,4.8
60-69,male,173.4,89.6,29.8,4日/週,30〜60分,4,45,180,87.2,2.4
70,female,163.1,77.3,29.1,5日/週,30〜60分,5,45,225,73.0,4.3
60-69,male,163.8,68.3,25.5,3日/週,180分以上,3,210,630,55.7,12.6
30-39,male,179.4,70.2,21.8,4日/週,30分未満,4,15,60,69.2,1.0
60-69,female,170.7,54.7,18.8,3日/週,60〜120分,3,90,270,49.6,5.1
20-29,male,170.0,56.0,19.4,運動なし,0分,0,0,0,56.2,-0.2
70,female,159.8,60.2,23.6,5日/週,180分以上,5,210,1050,45.0,15.2
40-49,male,180.0,57.2,17.7,5日/週,180分以上,5,210,1050,45.0,12.2
20-29,male,172.7,87.2,29.2,7日/週,30〜60分,7,45,315,80.8,6.5
50-59,female,163.1,38.8,14.6,1日/週,120〜180分,1,150,150,45.0,-6.2
30-39,female,151.5,69.9,30.5,5日/週,180分以上,5,210,1050,48.9,21.0
20-29,female,170.7,68.1,23.4,7日/週,180分以上,7,210,1470,45.0,23.1
70,female,166.2,61.6,22.3,7日/週,30〜60分,7,45,315,56.1,5.5
60-69,male,165.3,90.3,33.0,2日/週,60〜120分,2,90,180,86.9,3.3
70,female,174.7,52.6,17.2,4日/週,30〜60分,4,45,180,49.8,2.7
20-29,male,179.3,67.9,21.1,運動なし,0分,0,0,0,66.9,0.9
30-39,female,168.6,47.1,16.6,4日/週,60〜120分,4,90,360,45.0,2.1
40-49,female,158.1,65.0,26.0,7日/週,60〜120分,7,90,630,52.7,12.3
20-29,female,173.1,59.4,19.8,4日/週,30分未満,4,15,60,58.7,0.7
60-69,female,168.9,48.7,17.1,2日/週,30分未満,2,15,30,48.1,0.6
70,female,165.1,55.7,20.5,2日/週,180分以上,2,210,420,47.8,8.0
70,female,162.6,53.1,20.1,6日/週,120〜180分,6,150,900,45.0,8.1
40-49,female,163.6,79.2,29.6,3日/週,30〜60分,3,45,135,75.6,3.6
20-29,female,168.9,45.9,16.1,4日/週,120〜180分,4,150,600,45.0,0.9
30-39,female,168.3,45.5,16.1,7日/週,60〜120分,7,90,630,45.0,0.5
70,male,170.1,70.3,24.3,3日/週,30〜60分,3,45,135,68.2,2.1
40-49,male,177.2,81.8,26.1,1日/週,30〜60分,1,45,45,81.1,0.8
20-29,male,171.9,89.9,30.4,2日/週,30〜60分,2,45,90,88.1,1.7
70,female,170.2,65.0,22.4,運動なし,0分,0,0,0,64.9,0.0
40-49,male,178.3,75.0,23.6,3日/週,30〜60分,3,45,135,72.4,2.6
50-59,male,165.3,81.1,29.7,運動なし,0分,0,0,0,80.8,0.3
20-29,male,172.7,53.0,17.8,4日/週,60〜120分,4,90,360,46.6,6.5
40-49,female,170.3,47.2,16.3,4日/週,30分未満,4,15,60,46.2,1.0
70,female,159.9,53.8,21.0,4日/週,120〜180分,4,150,600,45.0,8.8
60-69,male,170.1,60.4,20.9,5日/週,120〜180分,5,150,750,45.1,15.3
70,female,156.9,38.2,15.5,6日/週,120〜180分,6,150,900,45.0,-6.8
70,male,172.4,74.7,25.1,1日/週,120〜180分,1,150,150,71.9,2.9
30-39,male,169.8,79.4,27.6,3日/週,60〜120分,3,90,270,73.7,5.7
50-59,female,164.6,70.0,25.8,7日/週,30〜60分,7,45,315,63.0,7.0
20-29,male,176.5,64.4,20.7,運動なし,0分,0,0,0,63.9,0.5
50-59,female,159.1,65.6,25.9,6日/週,30分未満,6,15,90,63.7,1.9
70,female,160.2,76.1,29.7,3日/週,30〜60分,3,45,135,73.3,2.8
70,male,166.3,64.2,23.2,7日/週,60〜120分,7,90,630,51.9,12.3
20-29,male,169.8,91.6,31.8,6日/週,180分以上,6,210,1260,66.4,25.2
30-39,male,169.6,59.6,20.7,5日/週,30分未満,5,15,75,58.6,0.9
70,male,170.6,63.3,21.8,1日/週,30〜60分,1,45,45,62.5,0.9
30-39,female,163.9,77.4,28.8,4日/週,60〜120分,4,90,360,70.2,7.2
70,female,171.6,58.1,19.7,7日/週,30〜60分,7,45,315,52.0,6.2
20-29,female,156.9,68.2,27.7,1日/週,180分以上,1,210,210,64.3,3.8
50-59,male,171.5,71.4,24.3,4日/週,120〜180分,4,150,600,60.5,10.9
60-69,female,166.0,66.6,24.2,4日/週,180分以上,4,210,840,50.8,15.7
40-49,male,167.3,71.5,25.5,4日/週,30分未満,4,15,60,71.2,0.2
50-59,female,173.3,56.8,18.9,6日/週,60〜120分,6,90,540,45.6,11.2
30-39,male,168.9,82.6,29.0,3日/週,60〜120分,3,90,270,77.3,5.3
30-39,female,165.9,47.1,17.1,2日/週,30分未満,2,15,30,46.0,1.2
20-29,female,165.4,59.1,21.6,7日/週,30分未満,7,15,105,56.3,2.8
70,male,171.3,86.1,29.3,6日/週,60〜120分,6,90,540,76.1,10.1
60-69,male,172.3,64.6,21.7,3日/週,180分以上,3,210,630,52.4,12.2
40-49,male,171.3,70.0,23.8,5日/週,30〜60分,5,45,225,65.1,4.9
60-69,female,161.5,80.1,30.7,6日/週,120〜180分,6,150,900,62.6,17.6
60-69,female,163.8,57.1,21.3,7日/週,120〜180分,7,150,1050,45.0,12.1
40-49,female,162.5,73.5,27.8,5日/週,120〜180分,5,150,750,58.5,15.1
60-69,male,167.5,60.1,21.4,2日/週,30〜60分,2,45,90,57.9,2.2
20-29,female,171.4,58.6,20.0,6日/週,30〜60分,6,45,270,54.3,4.3
70,female,173.1,82.9,27.6,2日/週,60〜120分,2,90,180,79.2,3.6
40-49,female,163.7,79.5,29.7,3日/週,30〜60分,3,45,135,76.9,2.6
20-29,male,166.8,69.7,25.1,5日/週,120〜180分,5,150,750,55.5,14.3
40-49,female,167.0,50.6,18.1,1日/週,30〜60分,1,45,45,49.6,1.0
60-69,female,156.6,66.0,26.9,7日/週,30分未満,7,15,105,64.9,1.1
60-69,male,167.6,77.2,27.5,1日/週,60〜120分,1,90,90,75.5,1.6
30-39,male,169.7,80.3,27.9,7日/週,30分未満,7,15,105,77.6,2.7
50-59,male,172.6,57.3,19.2,3日/週,30〜60分,3,45,135,54.9,2.4
50-59,male,172.4,77.8,26.2,4日/週,60〜120分,4,90,360,71.4,6.4
60-69,male,161.4,64.4,24.7,6日/週,120〜180分,6,150,900,47.5,16.8
20-29,female,164.2,54.1,20.1,4日/週,30分未満,4,15,60,53.3,0.8
20-29,male,168.3,58.0,20.5,6日/週,120〜180分,6,150,900,45.0,13.0
20-29,female,170.0,61.9,21.4,1日/週,30〜60分,1,45,45,60.9,1.0
40-49,female,167.8,60.0,21.3,7日/週,180分以上,7,210,1470,45.0,15.0
20-29,female,172.4,57.1,19.2,2日/週,30〜60分,2,45,90,55.2,1.8
70,male,177.7,70.4,22.3,6日/週,30〜60分,6,45,270,65.3,5.2
40-49,female,163.0,58.7,22.1,7日/週,180分以上,7,210,1470,45.0,13.7
30-39,male,169.9,69.1,23.9,4日/週,60〜120分,4,90,360,62.2,6.9
60-69,male,167.7,62.8,22.3,4日/週,30〜60分,4,45,180,59.2,3.6
40-49,male,161.1,59.7,23.0,運動なし,0分,0,0,0,59.5,0.2
20-29,female,167.9,46.7,16.6,5日/週,30分未満,5,15,75,45.0,1.7
20-29,female,159.0,56.7,22.5,4日/週,30分未満,4,15,60,56.5,0.3
20-29,male,175.0,67.1,21.9,4日/週,180分以上,4,210,840,50.5,16.6
30-39,female,170.6,45.0,15.5,2日/週,120〜180分,2,150,300,45.0,-0.0
40-49,male,175.2,72.2,23.5,6日/週,120〜180分,6,150,900,54.2,18.0
60-69,female,166.1,78.4,28.4,2日/週,30〜60分,2,45,90,75.8,2.6
60-69,male,175.5,68.2,22.1,7日/週,30分未満,7,15,105,66.6,1.7
20-29,male,175.7,81.4,26.4,1日/週,60〜120分,1,90,90,79.5,1.9
70,female,171.7,62.2,21.1,5日/週,60〜120分,5,90,450,53.6,8.6
40-49,female,163.9,48.0,17.9,6日/週,60〜120分,6,90,540,45.0,3.0
70,female,162.2,69.1,26.3,運動なし,0分,0,0,0,69.8,-0.7
70,male,177.3,78.5,24.9,運動なし,0分,0,0,0,79.2,-0.7
50-59,male,177.7,88.9,28.1,5日/週,120〜180分,5,150,750,74.9,13.9
70,male,179.3,63.4,19.7,運動なし,0分,0,0,0,63.6,-0.2
50-59,female,160.4,56.4,21.9,4日/週,60〜120分,4,90,360,49.4,7.0
50-59,female,163.8,47.2,17.6,運動なし,0分,0,0,0,47.3,-0.1
30-39,female,173.5,48.4,16.1,4日/週,30分未満,4,15,60,47.1,1.3
50-59,male,170.9,76.7,26.3,6日/週,120〜180分,6,150,900,59.1,17.6
60-69,female,171.9,49.9,16.9,2日/週,60〜120分,2,90,180,45.5,4.4
20-29,male,167.1,58.4,20.9,7日/週,30〜60分,7,45,315,52.1,6.3
30-39,male,168.8,67.8,23.8,2日/週,30〜60分,2,45,90,65.7,2.1
70,female,159.7,80.9,31.7,3日/週,60〜120分,3,90,270,75.4,5.5
60-69,male,167.3,53.9,19.3,6日/週,180分以上,6,210,1260,45.0,8.9
60-69,female,166.7,69.8,25.1,4日/週,180分以上,4,210,840,52.5,17.3
20-29,female,166.3,62.5,22.6,運動なし,0分,0,0,0,62.5,0.1
50-59,male,168.7,86.8,30.5,2日/週,180分以上,2,210,420,78.5,8.4
50-59,female,161.7,60.0,23.0,1日/週,60〜120分,1,90,90,58.2,1.9
30-39,male,174.8,65.5,21.4,6日/週,30〜60分,6,45,270,60.5,5.0
40-49,female,164.2,42.8,15.9,5日/週,180分以上,5,210,1050,45.0,-2.2
50-59,female,168.8,57.2,20.1,6日/週,120〜180分,6,150,900,45.0,12.2
30-39,female,166.2,69.5,25.2,1日/週,30〜60分,1,45,45,67.9,1.6
70,male,174.2,75.7,24.9,2日/週,30〜60分,2,45,90,74.5,1.2
50-59,female,157.6,60.4,24.3,運動なし,0分,0,0,0,60.4,-0.0
20-29,female,163.8,67.7,25.2,4日/週,30〜60分,4,45,180,64.2,3.5
70,female,164.8,63.3,23.3,2日/週,30〜60分,2,45,90,61.5,1.8
30-39,male,163.1,82.0,30.8,4日/週,60〜120分,4,90,360,75.5,6.4
20-29,female,168.1,61.6,21.8,5日/週,60〜120分,5,90,450,51.8,9.8
30-39,female,160.3,72.8,28.3,4日/週,60〜120分,4,90,360,66.0,6.8
30-39,male,181.7,76.2,23.1,5日/週,60〜120分,5,90,450,67.9,8.3
40-49,female,169.3,58.7,20.5,運動なし,0分,0,0,0,57.9,0.7
50-59,male,177.8,70.2,22.2,2日/週,180分以上,2,210,420,62.3,7.8
40-49,male,170.3,55.0,19.0,5日/週,180分以上,5,210,1050,45.0,10.0
30-39,female,168.6,64.2,22.6,1日/週,30分未満,1,15,15,63.3,0.9
40-49,male,172.4,98.1,33.0,運動なし,0分,0,0,0,98.0,0.1
40-49,female,169.7,61.2,21.3,3日/週,120〜180分,3,150,450,52.0,9.2
30-39,male,165.3,89.6,32.8,4日/週,60〜120分,4,90,360,82.3,7.3
30-39,female,176.5,50.1,16.1,4日/週,30分未満,4,15,60,49.3,0.8
20-29,male,166.6,64.2,23.1,2日/週,60〜120分,2,90,180,59.4,4.8
50-59,female,162.2,50.8,19.3,7日/週,30分未満,7,15,105,48.0,2.7
40-49,female,174.6,68.8,22.6,6日/週,30〜60分,6,45,270,63.0,5.8
30-39,female,154.2,70.7,29.8,1日/週,120〜180分,1,150,150,68.0,2.7
20-29,male,179.0,65.0,20.3,7日/週,180分以上,7,210,1470,45.0,20.0
30-39,male,176.8,58.8,18.8,5日/週,120〜180分,5,150,750,45.0,13.8
30-39,male,170.9,67.2,23.0,1日/週,30〜60分,1,45,45,67.5,-0.3
50-59,male,167.7,81.8,29.1,2日/週,120〜180分,2,150,300,76.0,5.8
30-39,female,167.2,72.1,25.8,6日/週,60〜120分,6,90,540,60.4,11.7
50-59,male,159.6,85.8,33.7,5日/週,60〜120分,5,90,450,77.0,8.7
60-69,female,169.5,39.9,13.9,6日/週,60〜120分,6,90,540,45.0,-5.1
70,female,162.2,76.2,29.0,5日/週,60〜120分,5,90,450,68.1,8.1
70,female,171.6,57.0,19.3,4日/週,30〜60分,4,45,180,53.9,3.0
30-39,male,164.9,80.7,29.7,3日/週,180分以上,3,210,630,67.4,13.3
20-29,female,166.9,59.3,21.3,7日/週,30分未満,7,15,105,56.6,2.8
70,female,172.0,68.6,23.2,1日/週,30〜60分,1,45,45,67.6,1.0
50-59,male,173.7,82.8,27.4,2日/週,60〜120分,2,90,180,79.2,3.6
60-69,male,169.2,77.8,27.2,5日/週,30〜60分,5,45,225,73.6,4.2
30-39,female,167.3,57.5,20.5,2日/週,30〜60分,2,45,90,55.8,1.7
60-69,male,166.9,65.2,23.4,6日/週,120〜180分,6,150,900,47.2,18.0
30-39,female,161.1,62.2,23.9,運動なし,0分,0,0,0,60.9,1.3
70,female,166.9,67.4,24.2,5日/週,30〜60分,5,45,225,63.1,4.2
60-69,male,174.7,83.3,27.3,1日/週,120〜180分,1,150,150,80.3,2.9
50-59,female,161.8,64.2,24.5,4日/週,60〜120分,4,90,360,56.8,7.4
60-69,male,175.0,64.0,20.9,運動なし,0分,0,0,0,64.0,-0.0
60-69,male,175.8,69.9,22.6,5日/週,30分未満,5,15,75,69.4,0.5
60-69,male,171.1,74.2,25.4,2日/週,60〜120分,2,90,180,71.9,2.3
30-39,male,185.2,73.9,21.5,6日/週,120〜180分,6,150,900,56.5,17.4
70,female,163.3,60.3,22.6,運動なし,0分,0,0,0,60.6,-0.3
20-29,male,176.5,89.4,28.7,7日/週,60〜120分,7,90,630,77.8,11.6
50-59,female,166.6,62.5,22.5,7日/週,30〜60分,7,45,315,56.4,6.1
40-49,male,163.6,74.9,28.0,4日/週,30〜60分,4,45,180,71.1,3.8
50-59,female,162.5,68.9,26.1,2日/週,30分未満,2,15,30,68.3,0.6
20-29,female,167.0,50.0,17.9,7日/週,60〜120分,7,90,630,45.0,5.0
20-29,female,158.1,58.6,23.5,1日/週,30分未満,1,15,15,57.5,1.1
70,female,164.0,59.0,21.9,4日/週,180分以上,4,210,840,45.0,14.0
30-39,male,181.7,50.1,15.2,運動なし,0分,0,0,0,49.6,0.6
70,female,156.8,40.4,16.4,4日/週,30分未満,4,15,60,45.0,-4.6
20-29,female,166.4,97.8,35.3,4日/週,30分未満,4,15,60,96.5,1.3
70,male,168.8,69.1,24.2,7日/週,30分未満,7,15,105,67.3,1.8
40-49,male,171.6,67.3,22.9,5日/週,60〜120分,5,90,450,58.5,8.9
60-69,male,168.1,78.4,27.7,4日/週,120〜180分,4,150,600,66.5,11.9
50-59,male,171.2,66.6,22.7,4日/週,60〜120分,4,90,360,58.9,7.7
60-69,male,170.3,71.5,24.6,5日/週,180分以上,5,210,1050,51.6,19.9
30-39,male,175.2,64.8,21.1,6日/週,120〜180分,6,150,900,46.4,18.3
40-49,male,163.7,73.1,27.3,4日/週,30分未満,4,15,60,72.3,0.8
70,female,169.3,53.9,18.8,4日/週,30〜60分,4,45,180,50.4,3.6
50-59,female,161.3,61.2,23.5,6日/週,30分未満,6,15,90,60.0,1.2
50-59,male,168.9,69.1,24.2,運動なし,0分,0,0,0,70.0,-0.9
30-39,male,177.9,86.0,27.2,2日/週,30分未満,2,15,30,85.6,0.4
20-29,female,167.1,73.2,26.2,3日/週,30〜60分,3,45,135,70.0,3.2
30-39,male,179.3,66.4,20.6,3日/週,60〜120分,3,90,270,60.2,6.2
20-29,female,159.9,55.7,21.8,2日/週,30分未満,2,15,30,54.9,0.8
30-39,female,163.4,70.2,26.3,5日/週,180分以上,5,210,1050,49.6,20.7
50-59,male,166.2,78.1,28.3,5日/週,120〜180分,5,150,750,63.8,14.3
60-69,female,166.6,55.8,20.1,4日/週,180分以上,4,210,840,45.0,10.8
60-69,male,173.5,64.6,21.5,4日/週,180分以上,4,210,840,48.4,16.2
20-29,female,166.5,58.0,20.9,4日/週,180分以上,4,210,840,45.0,13.0
40-49,female,165.5,59.3,21.7,7日/週,30〜60分,7,45,315,53.1,6.2
50-59,male,170.0,67.8,23.4,5日/週,120〜180分,5,150,750,53.1,14.6
30-39,female,163.3,63.0,23.6,5日/週,60〜120分,5,90,450,53.9,9.1
40-49,female,155.6,62.7,25.9,3日/週,120〜180分,3,150,450,54.2,8.6
60-69,female,165.3,61.4,22.5,3日/週,30分未満,3,15,45,60.4,1.0
60-69,female,163.7,46.3,17.3,7日/週,30〜60分,7,45,315,45.0,1.3
70,male,167.0,77.3,27.7,4日/週,180分以上,4,210,840,60.5,16.7
20-29,male,170.4,53.1,18.3,3日/週,120〜180分,3,150,450,45.0,8.1
20-29,female,161.9,58.1,22.2,6日/週,30〜60分,6,45,270,52.7,5.5
20-29,male,170.9,72.2,24.7,6日/週,180分以上,6,210,1260,48.0,24.2
50-59,male,172.5,60.8,20.4,2日/週,180分以上,2,210,420,53.2,7.6
70,male,173.7,68.0,22.5,7日/週,30分未満,7,15,105,66.6,1.4
40-49,male,159.7,69.2,27.1,4日/週,60〜120分,4,90,360,62.1,7.1
60-69,female,158.7,54.6,21.7,4日/週,120〜180分,4,150,600,45.0,9.6
50-59,female,171.8,66.2,22.4,3日/週,120〜180分,3,150,450,56.6,9.6
60-69,female,171.7,60.2,20.4,3日/週,180分以上,3,210,630,48.1,12.1
60-69,female,164.1,62.6,23.2,1日/週,30分未満,1,15,15,62.5,0.1
30-39,male,182.0,60.7,18.3,6日/週,60〜120分,6,90,540,50.4,10.3
20-29,male,162.6,60.0,22.7,3日/週,120〜180分,3,150,450,51.3,8.7
30-39,female,156.2,55.0,22.6,1日/週,120〜180分,1,150,150,51.5,3.5
20-29,male,174.3,71.0,23.4,7日/週,30分未満,7,15,105,69.1,1.8
40-49,male,170.6,64.9,22.3,運動なし,0分,0,0,0,64.8,0.2
70,male,165.2,63.3,23.2,7日/週,180分以上,7,210,1470,45.0,18.3
70,female,165.0,78.5,28.8,7日/週,120〜180分,7,150,1050,58.6,19.9
70,male,178.1,71.2,22.4,4日/週,180分以上,4,210,840,55.0,16.2
20-29,female,160.5,56.5,21.9,4日/週,30〜60分,4,45,180,53.1,3.4
20-29,female,165.8,43.6,15.9,運動なし,0分,0,0,0,45.0,-1.4
50-59,female,165.2,39.7,14.5,7日/週,30〜60分,7,45,315,45.0,-5.3
60-69,female,169.5,45.7,15.9,6日/週,180分以上,6,210,1260,45.0,0.7
60-69,male,180.9,76.6,23.4,5日/週,30分未満,5,15,75,75.3,1.2
20-29,male,172.1,63.2,21.3,7日/週,30〜60分,7,45,315,57.2,6.0
60-69,female,163.9,56.4,21.0,3日/週,30分未満,3,15,45,55.9,0.5
